millis,stamp,datetime,light,temp,vcc
999, 1562112000, "2019/7/3 0:0:0", 606, 461.17, 1.95
1999, 1562112000, "2019/7/3 0:0:0", 511, 524.98, 10.73
2999, 1562112000, "2019/7/3 0:0:0", 553, 478.57, 2.84
3999, 1562112000, "2019/7/3 0:0:0", 594, 465.81, 1.93
5000, 1562112000, "2019/7/3 0:0:0", 507, 504.68, 5.14
5999, 1562112000, "2019/7/3 0:0:0", 475, 535.42, 5.44
6999, 1562112000, "2019/7/3 0:0:0", 558, 489.59, 3.84
8000, 1562112000, "2019/7/3 0:0:0", 608, 462.33, 1.94
8999, 1562112000, "2019/7/3 0:0:0", 517, 523.24, inf
9999, 1562112000, "2019/7/3 0:0:0", 580, 470.45, 2.58
10999, 1562112000, "2019/7/3 0:0:0", 602, 464.07, 1.89
11999, 1562112000, "2019/7/3 0:0:0", 558, 477.41, 3.61
12999, 1562112000, "2019/7/3 0:0:0", 581, 469.29, 2.90
14000, 1562112000, "2019/7/3 0:0:0", 607, 461.75, 1.89
14999, 1562112000, "2019/7/3 0:0:0", 582, 469.87, 2.92
16000, 1562112000, "2019/7/3 0:0:0", 496, 535.42, 11.73
16999, 1562112000, "2019/7/3 0:0:0", 552, 487.85, 3.46
17999, 1562112000, "2019/7/3 0:0:0", 605, 461.75, inf
18999, 1562112000, "2019/7/3 0:0:0", 575, 481.47, 3.65
19999, 1562112000, "2019/7/3 0:0:0", 610, 461.75, 2.00
20999, 1562112000, "2019/7/3 0:0:0", 454, 535.42, inf
21999, 1562112000, "2019/7/3 0:0:0", 344, 535.42, inf
23000, 1562112000, "2019/7/3 0:0:0", 123, 535.42, inf
23999, 1562112000, "2019/7/3 0:0:0", 253, 535.42, inf
24999, 1562112000, "2019/7/3 0:0:0", 98, 535.42, inf
25999, 1562112000, "2019/7/3 0:0:0", 318, 535.42, inf
26999, 1562112000, "2019/7/3 0:0:0", 203, 535.42, inf
28000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
28999, 1562112000, "2019/7/3 0:0:0", 251, 535.42, inf
29999, 1562112000, "2019/7/3 0:0:0", 591, 473.35, 3.03
30999, 1562112000, "2019/7/3 0:0:0", 174, 535.42, inf
32000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
32999, 1562112000, "2019/7/3 0:0:0", 193, 535.42, inf
33999, 1562112000, "2019/7/3 0:0:0", 3, 535.42, inf
34999, 1562112000, "2019/7/3 0:0:0", 32, 535.42, inf
35999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
37000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 1126.40
37999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
38999, 1562112000, "2019/7/3 0:0:0", 541, 513.38, 4.52
39999, 1562112000, "2019/7/3 0:0:0", 154, 535.42, inf
40998, 1562112000, "2019/7/3 0:0:0", 86, 535.42, inf
42000, 1562112000, "2019/7/3 0:0:0", 516, 531.36, 9.79
42999, 1562112000, "2019/7/3 0:0:0", 134, 535.42, inf
44000, 1562112000, "2019/7/3 0:0:0", 158, 535.42, inf
44999, 1562112000, "2019/7/3 0:0:0", 359, 535.42, inf
45999, 1562112000, "2019/7/3 0:0:0", 602, 461.17, inf
46999, 1562112000, "2019/7/3 0:0:0", 547, 502.36, 5.07
48000, 1562112000, "2019/7/3 0:0:0", 601, 460.01, 1.95
48999, 1562112000, "2019/7/3 0:0:0", 591, 466.97, 2.75
49999, 1562112000, "2019/7/3 0:0:0", 542, 487.85, 4.32
50999, 1562112000, "2019/7/3 0:0:0", 581, 471.61, 3.16
51998, 1562112000, "2019/7/3 0:0:0", 572, 466.97, 2.96
53000, 1562112000, "2019/7/3 0:0:0", 586, 460.59, 1.95
53999, 1562112000, "2019/7/3 0:0:0", 520, 503.52, 5.72
54999, 1562112000, "2019/7/3 0:0:0", 526, 508.74, 6.06
55999, 1562112000, "2019/7/3 0:0:0", 434, 535.42, inf
56999, 1562112000, "2019/7/3 0:0:0", 592, 461.75, 2.27
57999, 1562112000, "2019/7/3 0:0:0", 393, 535.42, inf
58999, 1562112000, "2019/7/3 0:0:0", 299, 535.42, inf
60000, 1562112000, "2019/7/3 0:0:0", 78, 535.42, inf
60999, 1562112000, "2019/7/3 0:0:0", 228, 535.42, inf
61999, 1562112000, "2019/7/3 0:0:0", 576, 491.33, 4.07
62998, 1562112000, "2019/7/3 0:0:0", 85, 535.42, inf
64000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
64999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 70.40
65999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
66999, 1562112000, "2019/7/3 0:0:0", 6, 535.42, inf
67999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
68999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
69999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
71000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
71999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
72999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
73999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
74999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
76000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
76999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
78000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
78999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
80000, 1562112000, "2019/7/3 0:0:0", 164, 535.42, inf
80998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
81999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
82999, 1562112000, "2019/7/3 0:0:0", 300, 535.42, inf
83999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
85000, 1562112000, "2019/7/3 0:0:0", 415, 535.42, inf
85999, 1562112000, "2019/7/3 0:0:0", 610, 457.69, 1.86
86999, 1562112000, "2019/7/3 0:0:0", 590, 460.01, 1.94
87999, 1562112000, "2019/7/3 0:0:0", 599, 458.27, 1.88
88999, 1562112000, "2019/7/3 0:0:0", 598, 458.27, 1.89
89999, 1562112000, "2019/7/3 0:0:0", 598, 457.69, 1.87
90999, 1562112000, "2019/7/3 0:0:0", 438, 508.16, 1.89
92000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 6.95
92999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 1.89
94000, 1562112000, "2019/7/3 0:0:0", 29, 535.42, 2.71
94999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
96000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
96999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
97999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
98998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
99999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
101000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
101999, 1562112000, "2019/7/3 0:0:0", 184, 535.42, inf
102999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
103999, 1562112000, "2019/7/3 0:0:0", 475, 535.42, 125.16
104999, 1562112000, "2019/7/3 0:0:0", 365, 535.42, inf
105999, 1562112000, "2019/7/3 0:0:0", 583, 477.99, 3.37
106999, 1562112000, "2019/7/3 0:0:0", 562, 492.49, 4.28
107999, 1562112000, "2019/7/3 0:0:0", 590, 466.39, 2.69
108998, 1562112000, "2019/7/3 0:0:0", 593, 463.49, 2.33
110000, 1562112000, "2019/7/3 0:0:0", 593, 459.43, 1.92
110999, 1562112000, "2019/7/3 0:0:0", 579, 475.09, 3.34
112000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
112999, 1562112000, "2019/7/3 0:0:0", 554, 499.46, 4.83
113999, 1562112000, "2019/7/3 0:0:0", 583, 471.03, 2.54
114998, 1562112000, "2019/7/3 0:0:0", 386, 535.42, inf
115999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
117000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
117999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
118999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
119999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
120999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 1.89
121999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 125.16
122998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
123999, 1562112000, "2019/7/3 0:0:0", 98, 535.42, 1.91
124998, 1562112000, "2019/7/3 0:0:0", 201, 535.42, 1.91
126000, 1562112000, "2019/7/3 0:0:0", 51, 535.42, 2.28
126999, 1562112000, "2019/7/3 0:0:0", 602, 457.69, 1.86
128000, 1562112000, "2019/7/3 0:0:0", 603, 457.69, 1.87
128999, 1562112000, "2019/7/3 0:0:0", 601, 457.69, 1.88
129999, 1562112000, "2019/7/3 0:0:0", 592, 461.17, 4.88
130999, 1562112000, "2019/7/3 0:0:0", 598, 458.27, 1.88
131999, 1562112000, "2019/7/3 0:0:0", 615, 457.69, 1.83
133000, 1562112000, "2019/7/3 0:0:0", 594, 460.01, 1.94
133999, 1562112000, "2019/7/3 0:0:0", 595, 458.27, 1.91
134999, 1562112000, "2019/7/3 0:0:0", 614, 455.95, 1.85
135998, 1562112000, "2019/7/3 0:0:0", 600, 457.11, 1.88
136999, 1562112000, "2019/7/3 0:0:0", 599, 458.27, 1.89
137999, 1562112000, "2019/7/3 0:0:0", 592, 458.27, 1.90
138998, 1562112000, "2019/7/3 0:0:0", 598, 455.95, 5.17
139999, 1562112000, "2019/7/3 0:0:0", 604, 457.69, 1.88
140998, 1562112000, "2019/7/3 0:0:0", 84, 535.42, 2.02
142000, 1562112000, "2019/7/3 0:0:0", 603, 456.53, 1.86
142999, 1562112000, "2019/7/3 0:0:0", 502, 479.15, 1.86
144000, 1562112000, "2019/7/3 0:0:0", 401, 535.42, 1.87
144998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 3.69
145999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
146998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
147999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
148999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
149998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
151000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
151998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
152999, 1562112000, "2019/7/3 0:0:0", 371, 535.42, inf
153999, 1562112000, "2019/7/3 0:0:0", 260, 535.42, inf
154998, 1562112000, "2019/7/3 0:0:0", 448, 535.42, inf
156000, 1562112000, "2019/7/3 0:0:0", 608, 460.59, 2.07
156998, 1562112000, "2019/7/3 0:0:0", 592, 460.01, 2.28
158000, 1562112000, "2019/7/3 0:0:0", 2, 535.42, inf
158999, 1562112000, "2019/7/3 0:0:0", 594, 458.27, 1.92
159998, 1562112000, "2019/7/3 0:0:0", 612, 457.69, 1.83
160999, 1562112000, "2019/7/3 0:0:0", 595, 457.11, 1.89
161999, 1562112000, "2019/7/3 0:0:0", 603, 458.85, 1.87
162999, 1562112000, "2019/7/3 0:0:0", 602, 456.53, 1.86
163999, 1562112000, "2019/7/3 0:0:0", 614, 457.69, 1.84
164999, 1562112000, "2019/7/3 0:0:0", 602, 458.27, 1.86
165999, 1562112000, "2019/7/3 0:0:0", 599, 457.69, 1.87
167000, 1562112000, "2019/7/3 0:0:0", 580, 478.57, 3.59
167999, 1562112000, "2019/7/3 0:0:0", 601, 457.69, 1.88
168998, 1562112000, "2019/7/3 0:0:0", 367, 535.42, 1.84
169999, 1562112000, "2019/7/3 0:0:0", 600, 457.11, 1.90
170998, 1562112000, "2019/7/3 0:0:0", 603, 457.11, 1.87
172000, 1562112000, "2019/7/3 0:0:0", 603, 456.53, 1.87
172999, 1562112000, "2019/7/3 0:0:0", 604, 457.69, 1.87
173999, 1562112000, "2019/7/3 0:0:0", 425, 521.50, 1.84
174998, 1562112000, "2019/7/3 0:0:0", 597, 456.53, 1.88
176000, 1562112000, "2019/7/3 0:0:0", 513, 524.40, 8.66
176999, 1562112000, "2019/7/3 0:0:0", 599, 458.27, 1.86
177999, 1562112000, "2019/7/3 0:0:0", 249, 535.42, 1.84
178998, 1562112000, "2019/7/3 0:0:0", 484, 476.83, 1.88
179999, 1562112000, "2019/7/3 0:0:0", 595, 457.69, 1.88
181000, 1562112000, "2019/7/3 0:0:0", 567, 458.85, 1.86
